Region,Year,Annual,Rabi,Kharif
COASTAL KARNATAKA,1965,235.925,70.80833333,165.125
COASTAL KARNATAKA,1966,248.05,65.84999999,182.2083334
COASTAL KARNATAKA,1967,265.15,63.83333334,201.3083333
COASTAL KARNATAKA,1968,288.4166666,74.81666666,213.6083333
COASTAL KARNATAKA,1969,278.5750001,66.72500001,211.8500001
COASTAL KARNATAKA,1970,336.8333333,94.75,242.075
COASTAL KARNATAKA,1971,269.5999999,117.1250001,152.4916667
COASTAL KARNATAKA,1972,238.0750001,74.00000001,164.0833333
COASTAL KARNATAKA,1973,260.5000001,71.98333333,188.5166667
COASTAL KARNATAKA,1974,286.125,56.175,229.95
COASTAL KARNATAKA,1975,358.3333334,120.5083334,237.825
COASTAL KARNATAKA,1976,244.4916667,46.40833333,198.0916668
COASTAL KARNATAKA,1977,281.5833333,83.475,198.1
COASTAL KARNATAKA,1978,321.9083333,123.0666666,198.8500001
COASTAL KARNATAKA,1979,235.2833333,63.36666667,171.925
COASTAL KARNATAKA,1980,313.5000001,110.8166667,202.6916667
COASTAL KARNATAKA,1981,320.7166668,90.95,229.7666667
COASTAL KARNATAKA,1982,340.9083333,74.99166667,265.9
COASTAL KARNATAKA,1983,328.5166667,61.41666666,267.0916667
COASTAL KARNATAKA,1984,279.9166667,102.1166667,177.8083333
COASTAL KARNATAKA,1985,251.3083333,89.55,161.7666667
COASTAL KARNATAKA,1986,244.5416667,84.06666667,160.4749999
COASTAL KARNATAKA,1987,226.35,66.14166666,160.2083333
COASTAL KARNATAKA,1988,288.8833333,62.49166667,226.3916667
COASTAL KARNATAKA,1989,267.9666667,88.90833333,179.0583333
COASTAL KARNATAKA,1990,343.3666668,112.2666667,231.1083333
COASTAL KARNATAKA,1991,309.975,90.325,219.65
COASTAL KARNATAKA,1992,323.5166667,80.61666667,242.8916668
COASTAL KARNATAKA,1993,290.1083333,57.33333333,232.7750001
COASTAL KARNATAKA,1994,386.3583333,112.325,274.0333333
COASTAL KARNATAKA,1995,279.8166667,58.25833333,221.5583333
COASTAL KARNATAKA,1996,265.7416667,69.51666668,196.2166667
COASTAL KARNATAKA,1997,329.4666667,73.23333334,256.225
COASTAL KARNATAKA,1998,308.9916667,87.2,221.8
COASTAL KARNATAKA,1999,314.9916667,99.79166667,215.1916667
COASTAL KARNATAKA,2000,279.275,102.1083333,177.175
COASTAL KARNATAKA,2001,259.3,96.64166667,162.6666668
COASTAL KARNATAKA,2002,232.7583333,80.975,151.7916666
COASTAL KARNATAKA,2003,255.9916667,86.11666667,169.875
COASTAL KARNATAKA,2004,255.8333333,97.16666667,158.65
COASTAL KARNATAKA,2005,289.2416667,78.31666667,210.925
COASTAL KARNATAKA,2006,319.775,97.28333333,222.4916667
COASTAL KARNATAKA,2007,321.6833334,87.825,233.8666667
COASTAL KARNATAKA,2008,267.1999999,93.71666667,173.4833333
COASTAL KARNATAKA,2009,321.8333333,50.925,270.9083333
COASTAL KARNATAKA,2010,307.2333334,70.28333333,236.9416667
COASTAL KARNATAKA,2011,325.7166667,95.925,229.7916667
COASTAL KARNATAKA,2012,325.7166667,63.94166667,195.9083333
COASTAL KARNATAKA,2013,352.45,110.2416667,242.2166668
COASTAL KARNATAKA,2014,307.0333333,60.96666667,246.075
COASTAL KARNATAKA,2015,258.8333333,82.70833333,176.1166666
