Region,Year,Annual,Rabi,Kharif
NORTH INTERIOR KARNATAKA,1927,56.73333333,14.45,42.28333333
NORTH INTERIOR KARNATAKA,1928,64.04166667,19.53333333,44.51666667
NORTH INTERIOR KARNATAKA,1929,49.83333333,18.5,31.34166667
NORTH INTERIOR KARNATAKA,1930,52.725,13.6,39.11666667
NORTH INTERIOR KARNATAKA,1931,59.93333333,15.19999999,44.73333333
NORTH INTERIOR KARNATAKA,1932,67.40000001,10.30833333,57.08333334
NORTH INTERIOR KARNATAKA,1933,78.94166667,21.99166667,56.94166668
NORTH INTERIOR KARNATAKA,1934,49.26666667,9.308333333,39.95
NORTH INTERIOR KARNATAKA,1935,59.575,14.86666666,44.70833333
NORTH INTERIOR KARNATAKA,1936,47.05833333,15.79166667,31.25833334
NORTH INTERIOR KARNATAKA,1937,46.03333333,13.41666666,32.61666667
NORTH INTERIOR KARNATAKA,1938,67.92499999,19.04166667,48.88333333
NORTH INTERIOR KARNATAKA,1939,54.49166667,9.783333333,44.70833333
NORTH INTERIOR KARNATAKA,1940,61.4,18.35833333,43.03333333
NORTH INTERIOR KARNATAKA,1941,44.64166667,10.21666667,34.425
NORTH INTERIOR KARNATAKA,1942,48.80833333,17.33333333,31.45833333
NORTH INTERIOR KARNATAKA,1943,73.26666667,22.96666668,50.3
NORTH INTERIOR KARNATAKA,1944,60.175,15.26666667,44.91666667
NORTH INTERIOR KARNATAKA,1945,45.33333333,8.541666667,36.79166666
NORTH INTERIOR KARNATAKA,1946,67.40833333,18.25833333,49.15833333
NORTH INTERIOR KARNATAKA,1947,65.525,14.35,51.18333333
NORTH INTERIOR KARNATAKA,1948,64.85833333,13.30833333,51.575
NORTH INTERIOR KARNATAKA,1949,63.60833333,14.875,48.73333333
NORTH INTERIOR KARNATAKA,1950,58.875,13.81666667,45.05
NORTH INTERIOR KARNATAKA,1951,59.03333333,16.93333333,42.10000001
NORTH INTERIOR KARNATAKA,1952,52.375,15.95,36.43333333
NORTH INTERIOR KARNATAKA,1953,74.26666667,14.38333333,59.87499999
NORTH INTERIOR KARNATAKA,1954,56.94166668,13.46666666,43.475
NORTH INTERIOR KARNATAKA,1955,80.59166667,21.825,58.76666666
NORTH INTERIOR KARNATAKA,1956,86.58333333,16.24166667,70.33333333
NORTH INTERIOR KARNATAKA,1957,69.81666667,18.10833333,51.71666667
NORTH INTERIOR KARNATAKA,1958,62.66666667,17.58333333,45.075
NORTH INTERIOR KARNATAKA,1959,58.20833333,19.49166666,38.71666666
NORTH INTERIOR KARNATAKA,1960,57.63333333,16.54166667,41.09166667
NORTH INTERIOR KARNATAKA,1961,62.38333333,20.1,42.28333333
NORTH INTERIOR KARNATAKA,1962,69.925,16.775,53.13333334
NORTH INTERIOR KARNATAKA,1963,65.25833333,22.6,42.66666667
NORTH INTERIOR KARNATAKA,1964,74.98333333,11.18333333,63.8
NORTH INTERIOR KARNATAKA,1965,52.74166666,11.95,40.78333333
NORTH INTERIOR KARNATAKA,1966,60.3,15.13333333,45.16666667
NORTH INTERIOR KARNATAKA,1967,53.80833334,12.85,40.96666667
NORTH INTERIOR KARNATAKA,1968,60.60833333,15.51666667,45.09166667
NORTH INTERIOR KARNATAKA,1969,60.75833333,12.41666667,48.35833333
NORTH INTERIOR KARNATAKA,1970,65.89999999,15.85833333,50.025
NORTH INTERIOR KARNATAKA,1971,51.00833333,16.38333333,34.62499999
NORTH INTERIOR KARNATAKA,1972,41.61666668,12.375,29.23333334
NORTH INTERIOR KARNATAKA,1973,62.56666667,14.68333333,47.87499999
NORTH INTERIOR KARNATAKA,1974,68.10833333,17.17499999,50.91666668
NORTH INTERIOR KARNATAKA,1975,91.14166667,15.49166666,75.65
NORTH INTERIOR KARNATAKA,1976,46.77500001,11.18333333,35.6
NORTH INTERIOR KARNATAKA,1977,70.825,24.33333333,46.49166667
NORTH INTERIOR KARNATAKA,1978,75.40833333,19.04166667,56.35833333
NORTH INTERIOR KARNATAKA,1979,80.26666668,18.93333333,61.33333333
NORTH INTERIOR KARNATAKA,1980,57.64166667,18.53333334,39.10833334
NORTH INTERIOR KARNATAKA,1981,73.10833333,19.08333333,54.01666667
NORTH INTERIOR KARNATAKA,1982,56.78333333,13.47500001,43.30833333
NORTH INTERIOR KARNATAKA,1983,64.825,16.00833333,48.80833333
NORTH INTERIOR KARNATAKA,1984,51.50833333,8.075000001,43.44166666
NORTH INTERIOR KARNATAKA,1985,41.76666667,12.59999999,29.15833333
NORTH INTERIOR KARNATAKA,1986,51.7,17.16666667,34.53333334
NORTH INTERIOR KARNATAKA,1987,62.28333333,14.39166667,47.86666667
NORTH INTERIOR KARNATAKA,1988,66.28333333,12.86666667,53.43333333
NORTH INTERIOR KARNATAKA,1989,56.35,13.56666668,42.77500001
NORTH INTERIOR KARNATAKA,1990,59.91666667,22.47499999,37.44166667
NORTH INTERIOR KARNATAKA,1991,60,28.69166667,31.30833333
NORTH INTERIOR KARNATAKA,1992,55.69166667,14.06666667,41.625
NORTH INTERIOR KARNATAKA,1993,60.98333333,10.40833333,50.57499999
NORTH INTERIOR KARNATAKA,1994,53.58333333,13.21666667,40.375
NORTH INTERIOR KARNATAKA,1995,55.19166667,12.85,42.35
NORTH INTERIOR KARNATAKA,1996,67.65,15.38333333,52.26666668
NORTH INTERIOR KARNATAKA,1997,91.3,22.68333333,68.625
NORTH INTERIOR KARNATAKA,1998,71.04166667,12.25,58.8
NORTH INTERIOR KARNATAKA,1999,55.06666667,15.84166667,39.225
NORTH INTERIOR KARNATAKA,2000,59.36666667,14.00000001,45.37500001
NORTH INTERIOR KARNATAKA,2001,49.83333333,8.208333333,41.61666668
NORTH INTERIOR KARNATAKA,2002,44.20833333,14.62499999,29.575
NORTH INTERIOR KARNATAKA,2003,39.45833333,9.358333333,30.10000001
NORTH INTERIOR KARNATAKA,2004,53.49166667,19.725,33.76666667
NORTH INTERIOR KARNATAKA,2005,67.29166667,16.48333333,50.81666666
NORTH INTERIOR KARNATAKA,2006,54.21666667,19.84166667,34.36666667
NORTH INTERIOR KARNATAKA,2007,69.74166667,25.63333333,44.1
NORTH INTERIOR KARNATAKA,2008,59.36666667,20.2,39.16666667
NORTH INTERIOR KARNATAKA,2009,76.125,16.89166668,59.225
NORTH INTERIOR KARNATAKA,2010,71.1,14.80833333,56.28333333
NORTH INTERIOR KARNATAKA,2011,54.6,17.01666667,37.575
NORTH INTERIOR KARNATAKA,2012,48.65000001,12.49999999,36.15
NORTH INTERIOR KARNATAKA,2013,60.26666668,15.20833334,45.075
NORTH INTERIOR KARNATAKA,2014,63.06666667,17.09166667,45.96666667
NORTH INTERIOR KARNATAKA,2015,45.99166667,17.96666667,28.02500001
